id;name;hex;tags;texture_url;sort_order;created_at;grid_code
amarante;Amarante;#6B1839;"[""Bois exotiques"",""Couleur naturelle""]";https://apunwmswkqwrcwddfsff.supabase.co/storage/v1/object/public/wood-textures/Amarante.jpg;1;2026-05-17 06:11:21.340908+00;A
amarello;Amarello;#C8A84E;"[""Bois exotiques"",""Couleur naturelle""]";https://apunwmswkqwrcwddfsff.supabase.co/storage/v1/object/public/wood-textures/Amarello.jpg;2;2026-05-17 06:11:21.340908+00;B
charme_jaune;Charme Jaune;#D4B85A;"[""Bois français"",""Couleur teintée""]";https://apunwmswkqwrcwddfsff.supabase.co/storage/v1/object/public/wood-textures/Charme_Jaune.jpg;3;2026-05-17 06:11:21.340908+00;C
charme_rouge;Charme Rouge;#8B3A3A;"[""Bois français"",""Couleur teintée""]";https://apunwmswkqwrcwddfsff.supabase.co/storage/v1/object/public/wood-textures/Charme_Rouge.jpg;4;2026-05-17 06:11:21.340908+00;D
charme_vert;Charme Vert;#4A6B4A;"[""Bois français"",""Couleur teintée""]";https://apunwmswkqwrcwddfsff.supabase.co/storage/v1/object/public/wood-textures/Charme_Vert.jpg;5;2026-05-17 06:11:21.340908+00;E
citronnier;Citronnier;#E8D44D;"[""Bois exotiques"",""Couleur naturelle""]";https://apunwmswkqwrcwddfsff.supabase.co/storage/v1/object/public/wood-textures/Citronnier.jpg;8;2026-05-17 06:11:21.340908+00;H
sycomore;Sycomore;#E8DCC8;"[""Bois français"",""Couleur naturelle""]";https://apunwmswkqwrcwddfsff.supabase.co/storage/v1/object/public/wood-textures/sycomore-1779370411650.jpg;9;2026-05-17 06:11:21.340908+00;I
frene_bleu;Frêne Bleu;#4A6B8A;"[""Bois français"",""Couleur teintée""]";https://apunwmswkqwrcwddfsff.supabase.co/storage/v1/object/public/wood-textures/Frene_Bleu.jpg;10;2026-05-17 06:11:21.340908+00;J
frene_jaune;Frêne Jaune;#D4C25A;"[""Bois français"",""Couleur teintée""]";https://apunwmswkqwrcwddfsff.supabase.co/storage/v1/object/public/wood-textures/Frene_Jaune.jpg;11;2026-05-17 06:11:21.340908+00;K
frene_orange;Frêne Orange;#D4813A;"[""Bois français"",""Couleur teintée""]";https://apunwmswkqwrcwddfsff.supabase.co/storage/v1/object/public/wood-textures/Frene_Orange.jpg;12;2026-05-17 06:11:21.340908+00;L
chene_fume;Chêne Fumé;#5C4033;"[""Bois français"",""Couleur teintée""]";https://apunwmswkqwrcwddfsff.supabase.co/storage/v1/object/public/wood-textures/chene-fume-1779370392048.jpg;7;2026-05-17 06:11:21.340908+00;G
merisier;Merisier;#B5651D;"[""Bois français"",""Couleur naturelle""]";https://apunwmswkqwrcwddfsff.supabase.co/storage/v1/object/public/wood-textures/merisier-1779370436562.jpg;16;2026-05-17 06:11:21.340908+00;P
noyer;Noyer;#5C3A1E;"[""Bois français"",""Couleur naturelle""]";https://apunwmswkqwrcwddfsff.supabase.co/storage/v1/object/public/wood-textures/noyer-1779370445200.jpg;18;2026-05-17 06:11:21.340908+00;R
frene_rouge;Frêne Rouge;#9B3A3A;"[""Bois français"",""Couleur teintée""]";https://apunwmswkqwrcwddfsff.supabase.co/storage/v1/object/public/wood-textures/Frene_Rouge.jpg;13;2026-05-17 06:11:21.340908+00;M
frene_vert;Frêne Vert;#5A8B5A;"[""Bois français"",""Couleur teintée""]";https://apunwmswkqwrcwddfsff.supabase.co/storage/v1/object/public/wood-textures/Frene_Vert.jpg;14;2026-05-17 06:11:21.340908+00;N
padouk;Padouk;#A63A2D;"[""Bois exotiques"",""Couleur naturelle""]";https://apunwmswkqwrcwddfsff.supabase.co/storage/v1/object/public/wood-textures/Padouk.jpg;20;2026-05-17 06:11:21.340908+00;T
sycomore_bleu;Sycomore Bleu;#6A8BA0;"[""Bois français"",""Couleur teintée""]";https://apunwmswkqwrcwddfsff.supabase.co/storage/v1/object/public/wood-textures/Sycomore_Bleu.jpg;22;2026-05-17 06:11:21.340908+00;V
hetre;Hêtre;#D4A76A;"[""Bois français"",""Couleur naturelle""]";https://apunwmswkqwrcwddfsff.supabase.co/storage/v1/object/public/wood-textures/hetre-1779370427281.jpg;15;2026-05-17 06:11:21.340908+00;O
orme;Orme;#8B7355;"[""Bois français"",""Couleur naturelle""]";https://apunwmswkqwrcwddfsff.supabase.co/storage/v1/object/public/wood-textures/orme-1779370452939.jpg;19;2026-05-17 06:11:21.340908+00;S
poirier_alisier;Poirier Alisier;#D4A088;"[""Bois français"",""Couleur naturelle""]";https://apunwmswkqwrcwddfsff.supabase.co/storage/v1/object/public/wood-textures/poirier-alisier-1779370462000.jpg;21;2026-05-17 06:11:21.340908+00;U
sycomore_rose;Sycomore Rose;#C8A0A0;"[""Bois français"",""Couleur teintée""]";https://apunwmswkqwrcwddfsff.supabase.co/storage/v1/object/public/wood-textures/Sycomore_Rose.jpg;23;2026-05-17 06:11:21.340908+00;W
